loss,grad_norm,learning_rate,epoch
4.3724,4.139814376831055,4.8409600000000005e-05,0.03
4.3221,5.783245086669922,4.680960000000001e-05,0.06
4.3143,5.211606025695801,4.52096e-05,0.1
4.3121,5.376419544219971,4.3609600000000003e-05,0.13
4.3061,6.233412265777588,4.2009600000000005e-05,0.16
4.3016,5.713634967803955,4.04096e-05,0.19
4.2989,7.187811851501465,3.88096e-05,0.22
4.2968,5.754044055938721,3.72096e-05,0.26
4.2991,6.090581893920898,3.56128e-05,0.29
4.294,7.243515968322754,3.40128e-05,0.32
4.294,6.838285446166992,3.2416e-05,0.35
4.2934,9.060632705688477,3.0816e-05,0.38
4.2906,7.394576549530029,2.9216e-05,0.42
4.2895,7.756824016571045,2.7616000000000005e-05,0.45
4.2895,7.943485260009766,2.60192e-05,0.48
4.2891,8.998480796813965,2.44192e-05,0.51
4.2897,9.954440116882324,2.2819200000000003e-05,0.54
4.2883,10.080328941345215,2.1219200000000002e-05,0.58
4.2887,8.32662296295166,1.96224e-05,0.61
4.2851,8.365041732788086,1.80224e-05,0.64
4.2908,8.414928436279297,1.64224e-05,0.67
4.2842,8.810894012451172,1.48224e-05,0.7
4.2826,9.976292610168457,1.3225600000000003e-05,0.74
4.2897,9.39484691619873,1.1625600000000001e-05,0.77
4.2874,9.630633354187012,1.0025600000000001e-05,0.8
4.2856,8.6326904296875,8.4256e-06,0.83
4.2851,8.25926399230957,6.828800000000001e-06,0.86
4.281,8.811050415039062,5.228800000000001e-06,0.9
4.2788,9.042350769042969,3.6288000000000003e-06,0.93
4.2798,9.26419448852539,2.0288e-06,0.96
4.2795,8.252245903015137,4.2880000000000003e-07,0.99
4.3073,9.943665504455566,4.8409600000000005e-05,0.03
4.3048,7.754619121551514,4.680960000000001e-05,0.06
4.3065,9.437749862670898,4.52096e-05,0.1
4.3035,8.033406257629395,4.3609600000000003e-05,0.13
4.301,8.542132377624512,4.2012800000000005e-05,0.16
4.2984,8.546913146972656,4.04128e-05,0.19
4.2981,10.065094947814941,3.88128e-05,0.22
4.2993,8.94828987121582,3.7212800000000004e-05,0.26
4.297,9.454634666442871,3.5616e-05,0.29
4.2932,10.820531845092773,3.4016e-05,0.32
4.2976,9.1965970993042,3.2416e-05,0.35
4.2958,8.149510383605957,3.0816e-05,0.38
4.2987,9.636876106262207,2.9219200000000003e-05,0.42
4.2917,8.998337745666504,2.76192e-05,0.45
4.2932,10.106735229492188,2.60192e-05,0.48
4.2933,9.774831771850586,2.44192e-05,0.51
4.2895,10.132925987243652,2.2822400000000004e-05,0.54
4.289,8.019648551940918,2.1222400000000002e-05,0.58
4.2913,8.187408447265625,1.96224e-05,0.61
4.291,10.591268539428711,1.80224e-05,0.64
4.2902,9.80208683013916,1.64256e-05,0.67
4.2921,10.902852058410645,1.48256e-05,0.7
4.2906,9.984610557556152,1.3225600000000003e-05,0.74
4.2906,8.569602966308594,1.1625600000000001e-05,0.77
4.2879,9.020387649536133,1.0028800000000001e-05,0.8
4.2871,10.62366008758545,8.428800000000001e-06,0.83
4.2909,9.92421817779541,6.828800000000001e-06,0.86
4.2883,8.841203689575195,5.228800000000001e-06,0.9
4.2864,9.474165916442871,3.6288000000000003e-06,0.93
4.2889,10.629556655883789,2.032e-06,0.96
4.2896,11.175798416137695,4.32e-07,0.99